3 data type
#t
#lat
#lon
#z	(m)
#ux	(m)
#uy	(m)
#sxx (m)
#syy (m)
   1.0000000000000000        1000.0000000000000        1000.0000000000000        0.0000000000000000       -1.5167005758237629E-005  -3.0334011516475258E-005	5.e-8	5.e-8
   1.0000000000000000        2000.0000000000000        1000.0000000000000        0.0000000000000000        0.0000000000000000       -4.7467835783279768E-005	5.e-8	5.e-8
   1.0000000000000000        3000.0000000000000        1000.0000000000000        0.0000000000000000        1.5167005758237629E-005  -3.0334011516475258E-005	5.e-8	5.e-8
   1.0000000000000000        1000.0000000000000        2000.0000000000000        0.0000000000000000       -8.2370339498565056E-005  -8.2370339498565056E-005	5.e-8	5.e-8
   1.0000000000000000        3000.0000000000000        2000.0000000000000        0.0000000000000000        8.2370339498565056E-005  -8.2370339498565056E-005	5.e-8	5.e-8
   1.0000000000000000        1000.0000000000000        3000.0000000000000        0.0000000000000000       -2.1754170770281632E-004   0.0000000000000000     	5.e-8	5.e-8
   1.0000000000000000        3000.0000000000000        3000.0000000000000        0.0000000000000000        2.1754170770281632E-004   0.0000000000000000     	5.e-8	5.e-8
   1.0000000000000000        1000.0000000000000        4000.0000000000000        0.0000000000000000       -8.2370339498565056E-005   8.2370339498565056E-005	5.e-8	5.e-8
   1.0000000000000000        3000.0000000000000        4000.0000000000000        0.0000000000000000        8.2370339498565056E-005   8.2370339498565056E-005	5.e-8	5.e-8
   1.0000000000000000        1000.0000000000000        5000.0000000000000        0.0000000000000000       -1.5167005758237629E-005   3.0334011516475258E-005	5.e-8	5.e-8
   1.0000000000000000        2000.0000000000000        5000.0000000000000        0.0000000000000000        0.0000000000000000        4.7467835783279768E-005	5.e-8	5.e-8
   1.0000000000000000        3000.0000000000000        5000.0000000000000        0.0000000000000000        1.5167005758237629E-005   3.0334011516475258E-005	5.e-8	5.e-8
